right_votes_24,right_votes_19,right_votes_14,total_votes_24,total_votes_19,total_votes_14,CNTR_CODE,lon,lat
745,1384,1227,12531,17307,15167,HR,17.5,43.1
2293,2509,2122,18605,26390,25013,HR,17.2,43.5
533,884,803,6779,10243,9308,HR,17.5,45.5
543,901,1129,9514,14841,12558,HR,17.3,45.8
NA,NA,NA,NA,NA,NA,IT,11.5,45.3
30279,37992,20357,72030,85252,88143,IT,8.4,44.6
3425,4052,1327,6354,7221,7004,IT,7.8,44.1
16123,20250,4151,30713,35957,36748,IT,10,46.2
NA,NA,NA,NA,NA,NA,IT,8.7,45.8
104537,109694,85913,355619,401877,414162,IT,14.7,40.8
27448,37328,14257,83128,98745,88655,IT,11.1,45.9
6220,7690,3153,15023,17933,18787,IT,11.6,42.8
32525,36977,30869,78589,92396,104309,IT,14.5,42.2
179036,223060,50427,342821,392361,386308,IT,9.9,45.7
41341,50028,30310,103767,119287,123582,IT,13.6,43.5
NA,NA,NA,NA,NA,NA,IT,8.1,45.3
1612,2557,687,16749,21090,15187,IT,11.7,46.9
12051,13707,7404,33959,37104,38324,IT,11.4,44.3
21203,21043,16445,57163,63521,66039,IT,16.6,38.9
6926,7385,6280,16711,20161,22466,IT,14.3,42
76097,94921,27291,152421,178181,181381,IT,9.7,45.3
19195,24161,10804,41361,48874,50271,IT,13.2,43.3
5942,6438,4208,16950,19754,21925,IT,16.6,38.6
2895,3428,1358,8097,9161,10305,IT,16.1,40.4
23853,29804,31760,88366,110274,117063,IT,16.2,39.2
32821,38748,30860,88322,103582,107280,IT,7.2,45.1
10604,12582,11880,35399,43306,45133,IT,16.7,40.6
145207,174432,127729,394230,456442,489079,IT,12.7,41.8
436,611,206,6726,8654,6033,IT,10.7,46.8
18100,22901,14636,58973,65408,67296,IT,17.3,40.8
21383,27963,14547,47437,56480,57838,IT,8.1,44
6717,7651,5887,19517,22711,23268,IT,16.2,40.9
16666,20626,9233,36114,42273,42474,IT,12.3,42.6
7292,9560,4122,15092,19339,19192,IT,11.5,42.5
15420,17662,10572,48242,52499,54245,IT,15.6,40.7
4238,5838,1562,7488,9276,9068,IT,9.6,44.5
7523,8697,8771,25006,31888,30648,IT,15.7,41
11207,14502,10344,36826,43373,44840,IT,14.8,41.3
37909,38955,22802,93803,105810,99605,IT,17.8,40.4
33886,41766,12251,71738,84151,85975,IT,10.1,45.1
61571,73773,19747,117072,132224,131500,IT,10.4,45.6
16973,13653,12731,41454,47895,48935,IT,14.6,41.7
39261,52636,25597,111657,127948,128092,IT,10.3,44.9
17717,23960,12555,52550,63265,60534,IT,15.2,40.5
5572,8199,2385,11551,15081,14584,IT,12.3,46.3
24764,30073,21001,60953,69078,69681,IT,12,42.1
12859,18695,9046,47236,51185,36867,IT,16.6,39.6
80638,109209,38763,170105,202829,196320,IT,10.9,45.3
15116,19759,17325,56706,63988,66068,IT,16.3,39.6
16018,18881,13643,31150,37277,44237,IT,13.5,42
7235,8442,3874,24094,24271,25981,IT,16.2,38.2
29435,35604,13572,63047,73776,73895,IT,8.4,45.9
25089,29222,13639,85246,94222,95314,IT,11.5,43.6
3072,4959,2253,8872,11402,10686,IT,7.6,45.6
3454,4984,1286,7966,10279,9546,IT,12.2,46.6
10831,12377,5685,37246,40736,42352,IT,11.6,44
10078,12917,4564,22019,25914,26272,IT,10.5,44.2
23643,34916,18799,62989,78050,91382,IT,12.7,42.7
5320,6854,4059,17845,21508,23878,IT,15.4,40.8
NA,NA,NA,NA,NA,NA,IT,9.2,45.2
9899,13240,5771,23046,28122,28266,IT,12.9,43.1
35378,43582,22111,79693,90620,97927,IT,13,41.7
802,1068,350,10084,12414,9097,IT,12.2,46.8
33421,41210,17061,73457,85256,85840,IT,8.1,44.8
27746,36545,20348,58736,74816,76726,IT,7.8,43.9
8229,9918,3861,16852,19185,19613,IT,7.4,45.4
70172,75356,41894,169285,191136,187952,IT,18.2,40.1
9577,11675,6965,33026,35234,36237,IT,16.2,39.8
17652,26264,9805,82953,103877,85086,IT,11.1,46.6
17098,20941,14480,48559,55976,61263,IT,17.1,40.6
8224,8971,5598,32087,28729,27107,IT,15.9,41.7
2968,3306,1215,5732,6417,6561,IT,13.2,42.8
132956,180365,63277,275377,331004,314139,IT,12.2,45.7
69337,71795,62386,240960,262389,260204,IT,14.2,41.1
69740,79775,70517,175711,195752,220771,IT,14,42.4
35814,48540,28996,101913,120930,125586,IT,9.8,44.2
79598,92949,63763,187425,215689,236832,IT,12.8,42.1
15992,20244,7623,35912,41536,42311,IT,12.4,43.5
3305,4246,2840,10495,13092,13852,IT,15.4,41.2
13002,17068,7376,32395,37851,39670,IT,11,44.3
33384,44456,31525,137767,142681,152879,IT,15.9,38
22139,24208,17221,58402,64252,66835,IT,15.9,41.3
14856,14012,10278,36365,42762,42602,IT,14.4,41.4
25222,31545,17414,53931,66546,69325,IT,12.6,42.4
40481,47757,17628,86718,97878,95749,IT,7.6,44.4
13645,15480,6773,35023,39607,43152,IT,15.4,40.2
25602,30998,11601,61951,70529,71246,IT,11.9,43.3
14357,19120,5022,36096,44106,38102,IT,11,46.3
5179,8485,6326,16234,25010,27156,IT,15.2,41.4
11970,15520,5246,27649,33561,30146,IT,10.7,45.8
50330,66082,52827,156874,183110,193156,IT,9.2,44.5
5162,5651,4708,15928,19538,19361,IT,16.3,40.6
3360,3964,1676,9647,10771,11507,IT,10.9,43.2
25588,30139,11918,49056,57221,58039,IT,13.2,45.8
8568,10464,4289,19973,22558,23627,IT,12,43.9
46621,59728,25414,112261,129654,133188,IT,11.5,44.8
381122,492171,207443,1082834,1243135,1261880,IT,9,45.5
28008,30315,14708,61571,71047,64549,IT,13.8,41.5
40464,52498,25343,119999,137510,140591,IT,10.9,44.9
8910,11698,6121,26515,30683,32344,IT,15.7,40.4
NA,NA,NA,NA,NA,NA,IT,11.6,45.5
8994,10435,3520,16827,18626,19496,IT,9.5,44.8
8276,9604,4529,15275,18206,19661,IT,13.2,42.1
121549,167814,73257,286466,341282,344994,IT,11.9,45.3
28802,31897,13092,56561,64913,67767,IT,8.4,45.1
4587,6807,NA,7921,10696,NA,IT,12.6,46.5
11364,15663,6193,29940,33901,33772,IT,12.3,42.9
5246,8264,2928,38148,47676,37125,IT,11.6,46.6
40225,50523,31556,110874,130045,136098,IT,13.2,43.6
102915,133813,NA,298939,352051,NA,IT,7.7,45.2
22766,28280,4917,39470,45953,45135,IT,9.5,46.2
17354,19334,9432,55742,61453,62581,IT,11.1,43.4
16946,21132,7754,41473,48143,49203,IT,11.9,43.6
62555,74774,42272,174010,196704,202051,IT,12.3,44.1
25880,32451,23770,96174,111521,115549,IT,14.6,41.1
15757,31812,26613,55100,93680,97351,IT,15.6,41.4
68557,84546,25141,121690,143666,141376,IT,12.6,45.9
8743,11185,8109,28574,33503,37410,IT,16,39.7
4644,5744,3611,11181,13169,15442,IT,13.7,42.3
42501,53977,16791,82943,94190,90546,IT,10.9,45.6
15124,18995,11667,39566,46338,47828,IT,9.5,44.3
93346,106844,50422,348472,379418,380181,IT,11.1,43.7
7945,9519,6042,25781,29517,29202,IT,16,40.7
2044,2579,702,3949,4748,4375,IT,7.2,44.3
25078,32428,23432,81803,95834,97480,IT,15.1,40.7
61156,73785,50458,159303,180101,190653,IT,12.8,43.8
10306,12297,5372,22644,25669,26671,IT,11.9,42.7
NA,NA,NA,NA,NA,NA,IT,11.2,45.4
39503,50560,17804,82940,100349,99190,IT,13.2,46.2
NA,NA,NA,NA,NA,NA,IT,11.9,46.1
19592,24956,4114,32618,39171,38860,IT,9.8,46
15848,21426,5235,31944,39535,33504,IT,11.4,46
10745,13007,6762,26775,30096,31025,IT,12.6,43.4
8713,10794,3505,15562,18926,18378,IT,12.6,46.2
49029,62248,51084,124932,142243,166768,IT,13.7,42.7
23185,33083,12175,51060,62509,60465,IT,13.3,41.5
39089,49241,16219,81446,94465,95100,IT,9.5,45.1
1775,2282,583,2930,3806,3649,IT,13.5,46.5
2877,3691,1232,5424,6662,6648,IT,13.1,42.6
2864,4159,2810,7285,8945,11230,IT,13.4,42.7
7277,8510,3787,20230,22776,23760,IT,10.8,43.4
7483,8154,5881,19976,23214,23140,IT,16.5,40.4
33995,39672,15228,73474,82440,82078,IT,7.8,44.7
20643,26440,12639,54842,64783,68947,IT,12,44.6
NA,NA,NA,NA,NA,NA,IT,9.2,45.8
29235,36456,13326,62863,74381,76111,IT,8.5,45.3
16238,20545,9422,35688,42259,43376,IT,13.4,43.1
17952,23323,10600,45424,51967,52201,IT,10.2,44.6
22634,29786,15680,58268,66587,68477,IT,10.7,44.5
25253,30581,13429,59743,69266,70768,IT,7.9,45.5
2830,3235,1324,5684,6378,6333,IT,6.8,45
NA,NA,NA,NA,NA,NA,IT,11.8,45.1
48254,57646,19185,90309,102720,99737,IT,10.6,45.4
110475,150764,56044,217963,264029,256014,IT,11.9,45.6
30111,36892,13128,62598,74567,76455,IT,8.1,45.7
17090,21093,12162,54950,57210,53590,IT,16.9,40.8
7632,8476,4176,15628,17928,19137,IT,13.7,41.8
19230,22363,16560,54614,65362,63652,IT,17.9,40.6
4939,7146,3344,20124,22109,23445,IT,16.4,38.4
32760,42287,24918,86035,101687,106273,IT,8.2,44.2
1057,1568,270,7422,9471,6812,IT,10.8,46.5
182927,185065,264477,919709,978147,1064951,IT,14.4,40.9
5572,8249,3701,17326,21323,19796,IT,7.2,45.6
1857,2969,1000,15602,19090,14925,IT,11.9,46.7
5777,7004,3243,17446,20066,21074,IT,11.6,43.1
27503,30380,24005,76146,89582,104882,IT,17.4,40.6
61703,74966,44433,238023,260255,266492,IT,11.2,44.5
117928,144614,42115,243802,277055,276764,IT,10.2,45.4
41367,44843,38356,131284,148638,152337,IT,16.4,41.1
10278,11873,9935,24769,29270,33872,IT,14.1,42.2
6605,5571,4856,21201,22427,24228,IT,13.9,37.9
16521,18885,19381,53215,57123,61531,IT,14.5,37
17655,25547,25316,65878,76696,79761,IT,15.2,37.1
62532,56859,63417,191132,196877,228858,IT,15,37.6
8583,8735,10049,36153,33239,42291,IT,14.2,37.5
5473,4628,5136,20341,20319,23310,IT,14.5,37.4
5205,4480,3230,17032,15942,16943,IT,14.6,37.7
4554,4285,2820,16689,15812,16588,IT,13.5,37.6
11743,13619,14360,50779,53834,61799,IT,13.6,37.4
29956,34117,24249,110946,111609,115682,IT,15.2,37.9
16060,21834,20677,61208,64470,73364,IT,14.9,36.8
18732,20961,23991,70208,77360,82757,IT,14.9,37.2
40601,54601,29916,93096,112055,113354,IT,13.7,43.2
16465,NA,NA,52763,NA,NA,IT,12.6,37.9
8465,8635,9007,33246,32188,35625,IT,13,37.7
11079,8409,10052,41240,31807,36368,IT,14.3,37.2
8614,8825,9669,28631,29368,39311,IT,13.8,37.6
4831,5515,5809,21659,22412,25453,IT,13.3,37.5
6112,4373,3261,15857,15353,17640,IT,14.9,37.9
15160,12491,13463,41907,43295,48600,IT,14.8,37.5
1812,2496,2104,5980,6885,7556,IT,9.6,40.5
9879,9071,11761,32207,28086,39561,IT,8.6,40.8
46394,57576,35980,164518,182887,187222,IT,10.6,44.7
2243,2845,1706,5966,7081,7651,IT,9.1,39.8
1455,1806,1714,4651,5598,6738,IT,8.5,39.5
3021,3823,4326,13851,16450,16482,IT,9.3,40.4
4975,6453,5395,14821,17258,18338,IT,9.6,40.8
1244,1708,2057,4724,5772,5966,IT,9.6,40.2
6554,9190,7040,19855,24625,23521,IT,8.7,40
4247,4394,3608,12395,12376,14625,IT,8.6,40.3
4657,5561,5196,13411,14588,17843,IT,9,39.6
1648,2054,2161,6220,7551,8283,IT,9.3,40.1
8166,9958,8440,28164,34461,35240,IT,17,39
28786,29201,30511,100550,91158,97563,IT,8.8,39.1
1253,1768,1620,3737,4800,5490,IT,9.6,39.6
5735,7994,5616,16195,20040,22044,IT,9.2,40.9
2215,3150,2400,7752,9519,9995,IT,8.9,40.6
2283,4376,4096,8153,10364,13027,IT,9.7,39.9
1625,2068,1897,6275,7129,7645,IT,9,40.2
4457,5948,5684,13328,16826,17975,IT,8.7,39.7
7932,9774,10958,25648,30040,32244,IT,8.5,39.2
20741,18159,23283,70766,56862,80836,IT,8.3,40.7
6690,8931,11765,24181,27304,32349,IT,8.8,39.4
16451,NA,15872,42052,NA,62910,IT,18.2,39.9
25318,29976,13451,48262,57428,55351,IT,12,42.4
1153,1830,1064,3113,4296,4215,IT,9.4,39.8
17928,21375,24646,57276,61468,68065,IT,9.3,39.5
98254,117520,91036,287550,332963,352368,IT,12.3,41.7
29702,38819,20298,91836,107911,112111,IT,12.2,44.4
25558,32323,14036,64099,71233,70447,IT,12.6,43.1
10560,12806,7756,26386,30144,34286,IT,13.3,42.4
9356,11744,4514,21478,25242,24971,IT,7.2,44.7
65914,80454,32733,187909,210145,214217,IT,11,44
73382,89441,37735,185159,209375,210929,IT,10.8,43.8
140016,183595,130077,443681,523527,550186,IT,7.8,45
9589,12080,3664,18055,21613,21136,IT,8.4,46.2
29235,38841,14782,63927,75531,75627,IT,9.9,44.9
31773,39463,20044,96490,109612,114244,IT,11.8,44.3
32999,41547,13485,63558,76504,79342,IT,8.8,45.2
4182,5915,2477,12176,13904,13604,IT,10,44.5
41747,57239,22834,88957,108667,105849,IT,13.4,41.7
32974,37799,15220,69553,79455,80105,IT,7.5,44.7
61302,77448,76581,241005,268552,275477,IT,17,41.1
NA,NA,NA,NA,NA,NA,IT,11.8,45.9
6554,8847,3305,16123,19038,19534,IT,10.3,44.3
12466,15200,7709,27357,32195,33874,IT,12.8,43.6
27072,33573,14281,62030,72433,74653,IT,11.9,44.8
16078,18021,18231,56450,61917,68307,IT,16.6,40.9
7362,10689,4881,27603,29175,30627,IT,15.8,40.1
81759,101967,35909,172116,200971,203031,IT,8.6,45.6
6773,10140,2946,12341,17311,17148,IT,13.1,46.5
14973,18458,6750,31068,35744,35801,IT,8,44.5
34103,41757,7649,58007,68025,65299,IT,10.3,45.9
32057,43670,14054,66374,80081,77017,IT,12.3,46.1
34112,44580,20108,73947,89583,94017,IT,8.8,45
17208,16637,16378,42218,50505,52337,IT,15,41.8
15140,23504,15523,51399,63031,64328,IT,15.5,41.7
60509,79787,44952,207164,232705,236999,IT,11,44.6
33997,42458,15104,71152,85556,87096,IT,10.5,45.1
24484,29508,9350,45946,54388,56963,IT,9.2,44.9
15983,21287,14803,56393,70669,74822,IT,15.1,41.1
42305,51212,16580,80432,94535,92054,IT,12.9,46
6965,6555,3990,14805,17690,18143,IT,14.1,41.8
6113,10601,5516,18401,27475,28850,IT,17.6,40.8
16908,18485,13268,44956,55629,57073,IT,17.5,40.3
7307,8518,6609,16516,20544,24530,IT,13.8,42
16640,21680,9597,39842,46439,47527,IT,12.7,42.9
35557,41615,23947,118090,129359,131196,IT,11.5,44.6
12515,14529,6978,26598,30529,31333,IT,13,42.4
14100,20545,6153,44963,54884,45988,IT,11.4,46.2
112207,135165,99148,312842,362543,380967,IT,12.3,42.1
48718,63744,34966,102016,128186,132428,IT,12.7,41.5
5762,8406,1814,11946,15926,14459,IT,11.9,46.4
10503,13093,6119,25905,30375,31999,IT,11.1,42.9
28422,38379,15129,56555,69082,68168,IT,13,41.4
20595,25014,9304,38983,46968,47599,IT,8.3,45.5
53905,73393,58357,167469,199950,212270,IT,8.9,44.7
44755,55872,17739,83281,97622,93212,IT,12.8,45.7
2985,4463,1990,9311,11549,10534,IT,7.3,45.9
7588,9981,1846,13118,16771,15894,IT,10.2,46.4
14932,17897,7700,44147,50262,51844,IT,11.5,43.4
7973,9933,9081,32717,37750,43459,IT,16.7,39.3
2017,2708,1021,4572,5511,5236,IT,7.8,45.8
36801,50336,15042,67756,83750,82345,IT,11.2,45.1
8653,10442,1909,15532,18873,17668,IT,10.6,46.2
66972,80736,37092,156782,187291,186957,IT,13.6,45.9
45551,62697,31454,121015,147207,145627,IT,10.3,44
NA,NA,NA,NA,NA,NA,IT,11.3,45.7
9394,10943,5129,27091,30361,32298,IT,11.9,43
7012,6856,5552,18568,22271,21705,IT,14.9,41.6
46283,56615,NA,87153,101453,NA,IT,9.4,46
276716,356209,NA,658706,755738,NA,IT,9.4,45.6
26778,31063,19143,60703,69903,73920,IT,13.6,42.9
6367,7641,4552,21217,23518,25420,IT,16.3,40.2
31265,37990,16868,83682,91133,91380,IT,12.3,43.2
4532,5293,2284,12342,14143,14793,IT,11.3,43.1
9,10,8,80,82,81,FI,26,69.6
232,448,387,2814,2800,2739,FI,27.8,60.6
28,64,64,330,388,416,FI,31.2,62.6
46,63,48,294,319,369,FI,29.9,64.5
95,129,90,883,871,839,FI,26.3,67.1
113,279,264,1742,1882,1808,FI,26.7,62.9
749,1229,844,8067,7752,7168,FI,25.6,64.7
9,13,11,76,84,87,FI,28.1,67.3
1243,2088,1628,12514,12183,11361,FI,22.8,60.6
916,1731,1649,10329,10642,10214,FI,23.8,60.4
183,372,320,2708,2800,2540,FI,30.6,62.8
1015,2571,2185,11870,12334,11809,FI,22.4,61.5
249,420,344,2975,2909,2757,FI,26.1,65.7
278,471,356,2316,2716,3006,FI,21.9,62.4
365,628,465,3394,3743,3534,FI,24.3,64
568,1186,1222,7157,7329,7437,FI,26.5,60.5
72,100,75,716,731,730,FI,27.3,66.2
146,294,244,1435,1582,1546,FI,26,61.6
155,294,239,1684,1790,1820,FI,24.5,63.5
264,516,481,3484,3869,3789,FI,26.9,61.7
61,84,64,379,420,476,FI,29.3,64.4
28,38,36,303,342,373,FI,28.2,66.1
642,1292,1386,6973,7443,7203,FI,26.5,61.1
17,20,15,147,147,135,FI,25.9,68.5
102,192,156,892,1057,1031,FI,26.1,64
1101,2374,1700,16301,16115,15748,FI,25.9,60.4
16,22,16,177,170,178,FI,24.3,68.2
42,67,78,327,350,417,FI,27.1,65
58,108,112,513,583,617,FI,29.9,63.7
64,104,86,864,857,968,FI,29.3,66.2
272,515,470,3378,3436,3323,FI,27.3,62.7
186,361,331,2207,2443,2340,FI,29.3,62.4
67,113,90,633,719,710,FI,26.4,64.2
174,328,226,1633,1806,1836,FI,25.4,64.1
918,1670,1366,10892,10781,10155,FI,24.4,61.2
296,514,409,2605,2867,2784,FI,25.1,63.8
10,11,9,88,90,89,FI,27,69.9
70,149,166,707,814,850,FI,30.4,63.2
40,91,93,454,536,579,FI,31.2,63.1
84,143,165,3175,3644,3844,FI,21.2,62.5
14,17,13,121,121,111,FI,26.5,68.7
149,307,211,2883,3139,3304,FI,22.5,63.3
157,307,255,1490,1740,1766,FI,26.4,63.7
73,175,203,956,1073,1063,FI,24.9,62.4
40,85,95,400,460,480,FI,30.8,63.4
31,66,38,301,339,416,FI,28.3,64.8
114,218,176,944,1116,1110,FI,29.2,63
308,592,558,4038,4429,4346,FI,27.5,61.3
308,426,286,2877,2839,2646,FI,25.7,66.8
11,13,10,94,94,87,FI,29.1,69.6
58,95,79,792,791,890,FI,28.9,65.9
91,167,123,800,877,909,FI,28,63.7
22,27,21,208,199,220,FI,25.7,67.4
478,787,796,4654,4773,4778,FI,23.9,63.6
66,90,85,615,715,708,FI,24.4,63.2
132,291,241,1630,1919,1839,FI,29.8,61.8
10,11,8,65,70,67,FI,23.5,68.6
12,15,11,105,108,106,FI,23.6,68.3
160,283,299,2021,2033,2025,FI,28.6,62.7
105,205,198,1489,1616,1641,FI,28.1,61.6
17,21,17,150,146,164,FI,26.4,67.3
265,558,320,2593,2854,2895,FI,27.9,64.1
75,95,77,434,474,530,FI,29.9,64
520,1046,949,3492,4017,3946,FI,22.5,61.9
9,12,9,63,69,73,FI,28.1,67.6
264,491,425,2727,2894,3034,FI,27.5,63.5
48,113,57,538,585,631,FI,28.1,64.5
98,223,185,1139,1188,1172,FI,25.6,61.5
268,509,377,2366,2725,2965,FI,21.9,62.6
1568,3041,2383,17298,17213,16496,FI,24.5,60.8
497,1112,1116,7620,7551,6858,FI,25.2,61.9
15,17,12,99,107,102,FI,21.9,68.7
270,571,435,2043,2398,2295,FI,22.9,62
28,51,38,292,314,355,FI,26.7,65.7
14,16,12,119,120,110,FI,27.7,69.2
1492,2450,2019,17874,16801,15603,FI,26,64.9
42,79,75,405,455,464,FI,28.5,63.7
88,223,165,1039,1257,1217,FI,25.5,63.4
100,190,184,966,1068,1044,FI,29.7,63.1
16,19,14,138,138,127,FI,27.9,68.9
30,43,34,504,494,551,FI,24.1,67.3
50,86,60,449,489,595,FI,28.9,65.3
97,331,274,1480,1698,1712,FI,25.7,63
36,51,40,403,400,429,FI,26.3,66.1
30,41,43,315,362,401,FI,28,66.3
10321,17361,16782,171546,168276,153322,FI,25.2,60.3
98,237,218,1211,1357,1386,FI,24.5,62.8
134,225,305,1195,1256,1335,FI,26.5,64.6
192,365,304,1889,2124,2059,FI,24.1,62
32,46,42,317,363,397,FI,27.9,66
23,28,22,208,202,217,FI,26,68.2
478,931,967,6983,6885,6162,FI,26.1,61.9
1773,3110,2647,23985,23373,21349,FI,22.4,60.8
317,703,397,3251,3619,3701,FI,27.4,64.3
3651,6477,5414,51088,46557,40970,FI,23.8,61.4
611,1126,1107,8624,8299,7715,FI,27.9,62.9
148,285,298,1632,1875,1914,FI,24.1,62.3
568,1078,737,4890,5297,5188,FI,22.8,62.3
161,221,149,1498,1478,1388,FI,25.6,67.1
15,18,14,130,131,120,FI,28.4,69
140,295,270,1990,2053,2060,FI,29.1,61.5
14,16,12,119,119,109,FI,27.1,69.2
7,9,7,43,50,51,FI,29,68
30,58,42,288,321,361,FI,27.4,65.7
