year,state_fips,DEMOCRAT,REPUBLICAN
1976,1,0.5572726888447394,0.42614870862746757
1976,2,0.3565313091750692,0.5790457539611893
1976,4,0.39799978188251545,0.5636613577948053
1976,5,0.6496172812966184,0.3490433661005687
1976,6,0.47954821836112543,0.4974831395594693
1976,8,0.4260994599792869,0.5402777777777777
1976,9,0.46733700964038793,0.5188144450735923
1976,10,0.5196908870235357,0.46587620203529084
1976,11,0.8163122667772316,0.16509506604276492
1976,12,0.5192610623078361,0.46642434483758966
1976,13,0.6693829485931742,0.3306170514068258
1976,15,0.5059199934088795,0.48061283689379714
1976,16,0.37118545633733413,0.5988026937923104
1976,17,0.48107590268914247,0.5007684353529401
1976,18,0.45700385792947273,0.5332274647107094
1976,19,0.48458496540694423,0.49469437654722925
1976,20,0.44936393675385894,0.5248782423043394
1976,21,0.5275424926872652,0.45568748275702525
1976,22,0.5177499622274604,0.45988243150253294
1976,23,0.480940766261947,0.489307780225605
1976,24,0.5303541992343639,0.46964580076563617
1976,25,0.5611157822510813,0.40441709276098914
1976,26,0.46465074118397737,0.518607510700818
1976,27,0.5489630145887213,0.4202174333348206
1976,28,0.4962701232447065,0.4774216218326631
1976,29,0.5110498566748567,0.47473536036036035
1976,30,0.4540418697183741,0.5283998612860246
1976,31,0.38449671940126806,0.5920388826351588
1976,32,0.4580980403812241,0.5016594345043492
1976,33,0.43472692100451377,0.5474682519352113
1976,34,0.4792391503387658,0.500813409446165
1976,35,0.4828440433039679,0.5074989798122854
1976,36,0.4865083285569763,0.4237855381207277
1976,37,0.5526918671248569,0.4421940204040036
1976,38,0.4577004318753616,0.5169184818437446
1976,39,0.4889868666639419,0.48671631565938184
1976,40,0.48747220190231,0.4996177618514426
1976,41,0.47618062757069785,0.4778439346096035
1976,42,0.5039567935072532,0.4773221531310575
1976,44,0.5544200455935935,0.4414419461060343
1976,45,0.5616951766982355,0.43129371043244125
1976,46,0.48912125263570994,0.5038779026067753
1976,47,0.5594074830696869,0.4294176297426213
1976,48,0.511389568072175,0.4797042351894111
1976,49,0.3364817873758818,0.6243473055219892
1976,50,0.42304053245750456,0.5458722580504834
1976,51,0.47958215632133516,0.4929332140706408
1976,53,0.46114260440466104,0.49997749968821
1976,54,0.5806951864533234,0.4193048135466766
1976,55,0.4950336357441171,0.4782609730190698
1976,56,0.39809265525159426,0.5930358250769142
1980,1,0.47448859067804633,0.4875012016284021
1980,2,0.2640790179557575,0.5434819653507527
1980,4,0.28244683589928427,0.6060884838290739
1980,5,0.4752263062004675,0.4813427222648051
1980,6,0.35919436910764124,0.5269750288304541
1980,8,0.3107003250453797,0.5506893494871037
1980,9,0.3852220566954778,0.4815595700729226
1980,10,0.4487414498362103,0.47207087937267683
1980,11,0.7489317898199426,0.134068284940393
1980,12,0.38500219830769633,0.5551916270650328
1980,13,0.5579610534786652,0.409673065903476
1980,15,0.4480211812573569,0.42900618885741887
1980,16,0.25190715792890767,0.6645596676961624
1980,17,0.41716408184817594,0.49646052894475273
1980,18,0.3765319243739945,0.5600524167128673
1980,19,0.3860416298273987,0.5130500181761469
1980,20,0.33287575462214036,0.578500604718334
1980,21,0.4765391582608266,0.4903216743707873
1980,22,0.45748231779727505,0.5119834740095996
1980,23,0.42250354199051265,0.45605541757247936
1980,24,0.4713812953749961,0.44180965091762653
1980,25,0.41749779128319514,0.41901477364119344
1980,26,0.42497413500949555,0.48986181892588354
1980,27,0.4650156244212726,0.4255866224543305
1980,28,0.48139164564059433,0.49463302495093914
1980,29,0.4434571659339068,0.511557635306578
1980,30,0.32430650195630195,0.5682452631116192
1980,31,0.2602273846697512,0.6555001852914548
1980,32,0.2735666332912037,0.6361185430789685
1980,33,0.28350738300476575,0.5773718065574625
1980,34,0.3855799204485422,0.5197315978443948
1980,35,0.36784828937591646,0.5496682645204137
1980,36,0.4399209991552669,0.4253011024419865
1980,37,0.47182855353903075,0.49304975178262267
1980,38,0.262985029025359,0.6432570836488264
1980,39,0.40909813537809175,0.5151142624561613
1980,40,0.3496766135401337,0.6049970949145348
1980,41,0.3866981065004621,0.48331465676300617
1980,42,0.4247593062020594,0.49586134037896734
1980,44,0.4768214786269103,0.3721280774676837
1980,45,0.4820896631384125,0.4945376230779796
1980,46,0.3169180630021696,0.605252316884496
1980,47,0.4840771851910466,0.48698887745917446
1980,48,0.414200301389191,0.5528195126161586
1980,49,0.20568664839311962,0.7277754604801441
1980,50,0.3842118340920492,0.4436401483363729
1980,51,0.40308740686118993,0.5303279900880585
1980,53,0.3731607202504141,0.4965834363525127
1980,54,0.49810834807479853,0.45302860860901567
1980,55,0.4318031550825899,0.47898774470234085
1980,56,0.27970211586018007,0.6264394809663126
1984,1,0.38280781265064545,0.6054249354760621
1984,2,0.29867777751017555,0.666539823221984
1984,4,0.32542643169830887,0.6642148285841561
1984,5,0.38290785001458605,0.6046702532547269
1984,6,0.41267775699231596,0.5751694285169312
1984,8,0.3512289830011271,0.6344215596967685
1984,9,0.3882998159383734,0.6073195173495126
1984,10,0.3993212136448627,0.5978269409047342
1984,11,0.853848775131574,0.137296013024876
1984,12,0.3466024696827862,0.653185810412361
1984,13,0.3978530524412154,0.6017229856601785
1984,15,0.43815915627996166,0.5509965877217534
1984,16,0.2639221294728854,0.723646702858366
1984,17,0.43296553206747834,0.5617459154097206
1984,18,0.3768271378985602,0.6167431458678617
1984,19,0.4588708180375131,0.5327211216808544
1984,20,0.32598036577621525,0.66272207876586
1984,21,0.39401246581394755,0.6000693762346231
1984,22,0.38175392630280136,0.6077370692433072
