state,age,population
OH,<10,1422838
OH,10-19,1530264
OH,20-29,1535538
OH,30-39,1398724
OH,40-49,1490959
OH,50-59,1677794
OH,60-69,1320776
OH,70-79,728158
OH,≥80,481890
OK,<10,534481
OK,10-19,522282
OK,20-29,552528
OK,30-39,501392
OK,40-49,469410
OK,50-59,512850
OK,60-69,404704
OK,70-79,239887
OK,≥80,138055
OR,<10,474456
OR,10-19,485345
OR,20-29,538596
OR,30-39,537767
OR,40-49,507826
OR,50-59,534421
OR,60-69,490894
OR,70-79,255809
OR,≥80,157153
PA,<10,1458931
PA,10-19,1608018
PA,20-29,1712448
PA,30-39,1520409
PA,40-49,1645291
PA,50-59,1881378
PA,60-69,1491536
PA,70-79,850897
PA,≥80,615069
RI,<10,111377
RI,10-19,136885
RI,20-29,153674
RI,30-39,126503
RI,40-49,137892
RI,50-59,156127
RI,60-69,117653
RI,70-79,63359
RI,≥80,51021
SC,<10,599591
SC,10-19,619144
SC,20-29,667523
SC,30-39,596491
SC,40-49,619792
SC,50-59,663408
SC,60-69,579856
SC,70-79,322073
SC,≥80,166727
SD,<10,120366
SD,10-19,113383
SD,20-29,116748
SD,30-39,105499
SD,40-49,96288
SD,50-59,117012
SD,60-69,92824
SD,70-79,50398
SD,≥80,38540
TN,<10,818404
TN,10-19,842873
TN,20-29,895337
TN,30-39,837313
TN,40-49,866343
TN,50-59,904272
TN,60-69,741045
TN,70-79,414939
TN,≥80,227483
TX,<10,3983091
TX,10-19,3910528
TX,20-29,3946447
TX,30-39,3770534
TX,40-49,3545746
TX,50-59,3344930
TX,60-69,2431494
TX,70-79,1291486
TX,≥80,732179
UT,<10,513515
UT,10-19,479126
UT,20-29,465219
UT,30-39,436010
UT,40-49,328569
UT,50-59,301596
UT,60-69,230007
UT,70-79,123674
UT,≥80,70711
VT,<10,63768
VT,10-19,79351
VT,20-29,81765
VT,30-39,70092
VT,40-49,79982
VT,50-59,99521
VT,60-69,82136
VT,70-79,42978
VT,≥80,26656
VA,<10,1033629
VA,10-19,1065461
VA,20-29,1170634
VA,30-39,1112111
VA,40-49,1134928
VA,50-59,1162028
VA,60-69,881763
VA,70-79,475141
VA,≥80,274606
WA,<10,895790
WA,10-19,882812
WA,20-29,1004428
WA,30-39,970613
WA,40-49,921205
WA,50-59,970407
WA,60-69,784208
WA,70-79,401094
WA,≥80,242589
WV,<10,207017
WV,10-19,218547
WV,20-29,232027
WV,30-39,220494
WV,40-49,238218
WV,50-59,269346
WV,60-69,243108
WV,70-79,138134
WV,≥80,79201
WI,<10,705648
WI,10-19,755224
WI,20-29,760961
WI,30-39,714479
WI,40-49,732280
WI,50-59,848672
WI,60-69,645015
WI,70-79,350772
WI,≥80,241747
WY,<10,78217
WY,10-19,75535
WY,20-29,82898
WY,30-39,76912
WY,40-49,68464
WY,50-59,81018
WY,60-69,67484
WY,70-79,32819
WY,≥80,19682
PR,<10,389428
PR,10-19,479749
PR,20-29,480184
PR,30-39,441842
PR,40-49,456009
PR,50-59,452503
PR,60-69,411924
PR,70-79,268783
PR,≥80,148963
