Entity,Code,Life expectancy,GDP per capita,Population,Continent
Libya,LBY,72.4722,11741.864,6653946,Africa
Liechtenstein,LIE,82.797,,38783,Europe
Lithuania,LTU,75.0676,28971.844,2820269,Europe
Luxembourg,LUX,81.4335,53489.332,630401,Europe
Macao,MAC,85.1841,,676287,Asia
Madagascar,MDG,65.182,1300.5428,28225182,Africa
Malawi,MWI,63.7167,1186.6827,19377058,Africa
Malaysia,MYS,75.9378,24279.316,33199988,Asia
Maldives,MDV,79.8747,,514451,Asia
Mali,MLI,58.6331,1638.9304,21224042,Africa
Malta,MLT,83.3545,29703.762,515364,Europe
Marshall Islands,MHL,64.977,,43437,Oceania
Martinique,MTQ,83.05,,370399,North America
Mauritania,MRT,64.5321,3532.2979,4498605,Africa
Mauritius,MUS,74.3306,18445.975,1297830,Africa
Mayotte,MYT,75.4106,,305591,Africa
Mexico,MEX,70.1328,15253.691,125998296,North America
Micronesia (country),FSM,70.674,,112119,Oceania
Moldova,MDA,70.1665,6560.7476,3084848,Europe
Monaco,MCO,86.538,,36943,Europe
Mongolia,MNG,72.141,12990.328,3294340,Asia
Montenegro,MNE,76.2575,17355.623,629058,Europe
Montserrat,MSR,75.3312,,4526,North America
Morocco,MAR,73.9199,7849.208,36688768,Africa
Mozambique,MOZ,61.1722,1076.6941,31178242,Africa
Myanmar,MMR,66.797,6282.8115,53423200,Asia
Namibia,NAM,62.829,7734.6055,2489099,Africa
Nauru,NRU,63.4367,,12339,Oceania
Nepal,NPL,69.2456,2832.8608,29348626,Asia
Netherlands,NLD,81.6381,46014.484,17434562,Europe
New Caledonia,NCL,80.8252,,286412,Oceania
New Zealand,NZL,82.7419,35853.69,5061130,Oceania
Nicaragua,NIC,71.7954,4575.1865,6755900,North America
Niger,NER,61.4506,962.7823,24333644,Africa
Nigeria,NGA,52.887,4976.3223,208327408,Africa
Niue,NIU,70.8119,,1963,Oceania
North Korea,PRK,73.2741,1584.3771,25867474,Asia
North Macedonia,MKD,75.1677,13125.83,2111078,Europe
Northern Mariana Islands,MNP,77.1541,,49611,Oceania
Norway,NOR,83.1951,83543.1,5379836,Europe
Oman,OMN,74.7571,46133.21,4543406,Asia
Pakistan,PAK,66.2695,5242.6953,227196736,Asia
Palau,PLW,65.3491,,17999,Oceania
Palestine,PSE,74.4035,4490.755,5019407,Asia
Panama,PAN,76.657,18840.738,4294391,North America
Papua New Guinea,PNG,65.7868,,9749641,Oceania
Paraguay,PRY,73.1816,8603.079,6618700,South America
Peru,PER,73.6655,11136.991,33304768,South America
Philippines,PHL,72.1191,7624.4136,112190984,Asia
Poland,POL,76.9424,28577.14,38428368,Europe
Portugal,PRT,81.0545,25700.283,10298186,Europe
Puerto Rico,PRI,78.0406,33787.4,3271570,North America
Qatar,QAT,79.0987,143118.53,2760390,Asia
Reunion,REU,82.1032,,957829,Africa
Romania,ROU,75.3456,24799.71,19442040,Europe
Russia,RUS,71.3423,24625.385,145617328,Europe
Rwanda,RWA,66.7741,1935.2662,13146367,Africa
Saint Barthelemy,BLM,80.223,,10706,North America
Saint Helena,SHN,76.8673,,5448,Africa
Saint Kitts and Nevis,KNA,71.6266,,47666,North America
Saint Lucia,LCA,73.416,8164.9062,179245,North America
Saint Martin (French part),MAF,80.1492,,32577,North America
Saint Pierre and Miquelon,SPM,77.1392,,5930,North America
Saint Vincent and the Grenadines,VCT,72.1256,,104644,North America
Samoa,WSM,72.7677,,214934,Oceania
San Marino,SMR,79.5886,,34038,Europe
Sao Tome and Principe,STP,67.7848,3826.3755,218650,Africa
Saudi Arabia,SAU,76.2392,46723.93,35997108,Asia
Senegal,SEN,68.0064,2524.2656,16436120,Africa
Serbia,SRB,75.4057,15256.421,7358010,Europe
Seychelles,SYC,73.5324,29647.482,105545,Africa
Sierra Leone,SLE,59.7632,1635.713,8233973,Africa
Singapore,SGP,82.861,71964.7,5909874,Asia
Sint Maarten (Dutch part),SXM,74.5835,,43638,North America
Slovakia,SVK,77.0054,26468.295,5456681,Europe
Slovenia,SVN,80.4409,28733.303,2117648,Europe
Solomon Islands,SLB,70.1987,,691198,Oceania
Somalia,SOM,55.9666,,16537018,Africa
South Africa,ZAF,65.2522,10839.133,58801928,Africa
South Korea,KOR,83.6089,38606.984,51844688,Asia
South Sudan,SSD,55.4801,,10606224,Africa
Spain,ESP,82.2892,30834.514,47363808,Europe
Sri Lanka,LKA,76.3929,11447.249,21715076,Asia
Sudan,SDN,65.6136,,44440484,Africa
Suriname,SUR,72.5615,,607068,South America
Sweden,SWE,82.4274,44128.332,10368968,Europe
Switzerland,CHE,83.067,60521.26,8638609,Europe
Syria,SYR,72.1399,2903.7397,20772602,Asia
Taiwan,TWN,80.8924,48779.438,23821468,Asia
Tajikistan,TJK,67.9942,4828.3936,9543211,Asia
Tanzania,TZA,66.4077,2948.4724,61704520,Africa
Thailand,THA,79.2739,15815.915,71475664,Asia
Togo,TGO,61.035,1482.7515,8442583,Africa
Tokelau,TKL,75.1751,,1845,Oceania
Tonga,TON,70.9276,,105265,Oceania
Trinidad and Tobago,TTO,74.4056,25548.51,1518142,North America
Tunisia,TUN,75.2923,10354.239,12161720,Africa
Turkey,TUR,75.85,23721.88,84135432,Asia
Turkmenistan,TKM,68.687,16580.84,6250442,Asia
Turks and Caicos Islands,TCA,75.0008,,44297,North America
Tuvalu,TUV,64.382,,11090,Oceania
USSR,OWID_USS,,18851.242,,Europe
Uganda,UGA,62.8513,2032.2618,44404608,Africa
Ukraine,UKR,72.5726,9769.828,43909664,Europe
United Arab Emirates,ARE,78.9457,70188.27,9287286,Asia
United Kingdom,GBR,80.4345,34651.184,67059472,Europe
United States,USA,77.4144,54379.207,335942016,North America
United States Virgin Islands,VIR,74.9416,,100452,North America
Uruguay,URY,78.4298,18460.04,3429087,South America
Uzbekistan,UZB,70.3309,11341.919,33526662,Asia
Vanuatu,VUT,70.2995,,311694,Oceania
Venezuela,VEN,71.0949,4952.53,28490458,South America
Vietnam,VNM,75.3779,7395.3613,96648680,Asia
Wallis and Futuna,WLF,78.7639,,11679,Oceania
Western Sahara,ESH,70.5218,,556060,Africa
Yemen,YEM,64.6501,2031.4436,32284044,Asia
Yugoslavia,OWID_YGS,,16757.94,,Europe
Zambia,ZMB,62.3803,3270.599,18927716,Africa
Zimbabwe,ZWE,61.1242,1585.9728,15669663,Africa
