id,imdb_id,season,episode,title,imdb_rating,num_votes,year,runtime,airdate,us_viewers
69,tt0758368,4,5,Treehouse of Horror III,8.4,4013,1992,30,1992-10-29,25.1
70,tt0758368,4,5,Treehouse of Horror III,8.4,4013,1992,30,1992-10-29,25.1
71,tt0701139,4,6,Itchy & Scratchy: The Movie,8.2,3592,1992,30,1992-11-03,20.1
72,tt0701169,4,7,Marge Gets a Job,7.8,3246,1992,30,1992-11-05,22.9
73,tt0701189,4,8,New Kid on the Block,8.2,3532,1992,30,1992-11-12,23.1
74,tt0701184,4,9,Mr. Plow,8.8,4481,1992,30,1992-11-19,24.0
75,tt0701160,4,10,Lisa's First Word,8.7,3833,1992,30,1992-12-03,28.6
76,tt0772625,4,11,Homer's Triple Bypass,8.6,4173,1992,30,1992-12-17,23.6
77,tt0701173,4,12,Marge vs. the Monorail,9.1,5688,1993,30,1993-01-14,23.0
78,tt0773650,4,13,Selma's Choice,8.0,3278,1993,30,1993-01-21,24.5
79,tt0764185,4,14,Brother from the Same Planet,8.1,3331,1993,30,1993-02-04,23.8
80,tt0773648,4,15,I Love Lisa,8.4,3615,1993,30,1993-02-11,25.2
81,tt0763029,4,16,Duffless,8.3,3397,1993,30,1993-02-18,25.7
82,tt0701151,4,17,Last Exit to Springfield,9.0,5169,1993,30,1993-03-11,22.4
83,tt0773651,4,18,So It's Come to This: A Simpsons Clip Show,7.0,3021,1993,30,1993-04-01,25.5
84,tt0701237,4,19,The Front,8.1,3156,1993,30,1993-04-15,20.1
85,tt0701292,4,20,Whacking Day,8.1,3357,1993,30,1993-04-29,20.0
86,tt0701171,4,21,Marge in Chains,7.7,3072,1993,30,1993-05-06,17.3
87,tt0701148,4,22,Krusty Gets Kancelled,8.1,3409,1993,30,1993-05-13,19.4
88,tt0701121,5,1,Homer's Barbershop Quartet,8.5,4045,1993,30,1993-09-30,19.9
89,tt0701080,5,2,Cape Feare,9.2,5675,1993,23,1993-10-07,20.0
90,tt0773645,5,3,Homer Goes to College,8.6,4023,1993,30,1993-10-14,18.1
91,tt0701202,5,4,Rosebud,8.8,4359,1993,30,1993-10-21,19.5
92,tt0701279,5,5,Treehouse of Horror IV,8.8,4221,1993,30,1993-10-28,24.0
93,tt0701279,5,5,Treehouse of Horror IV,8.8,4221,1993,30,1993-10-28,24.0
94,tt0701279,5,5,Treehouse of Horror IV,8.8,4221,1993,30,1993-10-28,24.0
95,tt0701279,5,5,Treehouse of Horror IV,8.8,4221,1993,30,1993-10-28,24.0
96,tt0701172,5,6,Marge on the Lam,8.0,3256,1993,30,1993-11-04,21.7
97,tt0701066,5,7,Bart's Inner Child,7.6,3037,1993,30,1993-11-11,18.7
98,tt0701072,5,8,Boy Scoutz 'n the Hood,8.6,3956,1993,30,1993-11-18,20.1
99,tt0701246,5,9,The Last Temptation of Homer,8.5,3633,1993,30,1993-12-09,20.6
100,tt0701040,5,10,"$pringfield (Or, How I Learned to Stop Worrying and Love Legalized Gambling)",8.6,3664,1993,30,1993-12-16,17.9
101,tt0701117,5,11,Homer the Vigilante,8.2,3326,1994,30,1994-01-06,20.1
102,tt0701055,5,12,Bart Gets Famous,8.1,3193,1994,30,1994-02-03,20.0
103,tt0701112,5,13,Homer and Apu,8.2,3262,1994,30,1994-02-10,21.8
104,tt0701159,5,14,Lisa vs. Malibu Stacy,8.1,3569,1994,30,1994-02-17,19.9
105,tt0701087,5,15,Deep Space Homer,8.8,4316,1994,30,1994-02-24,18.2
106,tt0773646,5,16,Homer Loves Flanders,8.5,3662,1994,30,1994-03-17,18.0
107,tt0777148,5,17,Bart Gets an Elephant,7.8,3091,1994,30,1994-03-31,17.0
108,tt0777149,5,18,Burns' Heir,8.3,3480,1994,30,1994-04-14,14.7
109,tt0777150,5,19,Sweet Seymour Skinner's Baadasssss Song,8.3,3554,1994,30,1994-04-28,19.7
110,tt0778453,5,20,The Boy Who Knew Too Much,8.3,3105,1994,30,1994-05-05,15.5
111,tt0763033,5,21,Lady Bouvier's Lover,7.5,2802,1994,30,1994-05-12,15.1
112,tt0778452,5,22,Secrets of a Successful Marriage,8.0,2967,1994,30,1994-05-19,15.6
113,tt0763026,6,1,Bart of Darkness,8.7,3836,1994,30,1994-09-04,15.1
114,tt0701162,6,2,Lisa's Rival,8.1,3230,1994,30,1994-09-11,16.7
115,tt0701053,6,3,Another Simpsons Clip Show,5.8,2837,1994,30,1994-09-25,13.5
116,tt0778449,6,4,Itchy & Scratchy Land,8.6,3629,1994,30,1994-10-02,14.8
117,tt0701207,6,5,Sideshow Bob Roberts,8.2,3182,1994,30,1994-10-09,14.4
118,tt0701281,6,6,Treehouse of Horror V,9.2,5145,1994,30,1994-10-30,22.2
119,tt0701281,6,6,Treehouse of Horror V,9.2,5145,1994,30,1994-10-30,22.2
120,tt0701281,6,6,Treehouse of Horror V,9.2,5145,1994,30,1994-10-30,22.2
121,tt0701065,6,7,Bart's Girlfriend,8.1,3185,1994,30,1994-11-06,15.3
122,tt0778450,6,8,Lisa on Ice,8.6,3484,1994,30,1994-11-13,17.9
123,tt0701109,6,9,Homer Badman,8.9,4661,1994,30,1994-11-27,15.5
124,tt0778448,6,10,Grampa vs. Sexual Inadequacy,8.0,2958,1994,30,1994-12-04,14.1
125,tt0701097,6,11,Fear of Flying,7.7,3029,1994,30,1994-12-18,15.6
126,tt0701115,6,12,Homer the Great,9.0,4398,1995,30,1995-01-08,20.1
127,tt0757016,6,13,And Maggie Makes Three,8.9,3898,1995,30,1995-01-22,17.3
128,tt0778447,6,14,Bart's Comet,8.7,3466,1995,30,1995-02-05,18.7
129,tt0701128,6,15,Homie the Clown,8.6,3498,1995,30,1995-02-12,17.5
130,tt0778446,6,16,Bart vs. Australia,8.5,3656,1995,30,1995-02-19,15.1
131,tt0701119,6,17,Homer vs. Patty and Selma,7.8,2831,1995,30,1995-02-26,18.9
132,tt0701045,6,18,A Star Is Burns,8.5,3449,1995,30,1995-03-05,14.4
133,tt0701165,6,19,Lisa's Wedding,8.3,3304,1995,30,1995-03-19,14.9
134,tt0701289,6,20,Two Dozen and One Greyhounds,8.1,2956,1995,30,1995-04-09,11.6
135,tt0778454,6,21,The PTA Disbands,8.0,2896,1995,30,1995-04-16,11.8
136,tt0701041,6,22,'Round Springfield,8.1,3300,1995,30,1995-04-30,12.6
137,tt0778455,6,23,The Springfield Connection,8.2,2949,1995,30,1995-05-07,12.7
138,tt0757018,6,24,Lemon of Troy,8.7,3624,1995,30,1995-05-14,13.1
139,tt0701294,6,25,Who Shot Mr. Burns? Part One,9.2,4665,1995,30,1995-05-21,15.0
140,tt0701295,7,1,Who Shot Mr. Burns? Part Two,9.0,4237,1995,30,1995-09-17,22.6
141,tt0701201,7,2,Radioactive Man,8.3,3191,1995,30,1995-09-24,15.7
142,tt0701108,7,3,Home Sweet Home-Dum-Diddly Doodily,8.4,3121,1995,30,1995-10-01,14.5
143,tt0763025,7,4,Bart Sells His Soul,8.8,4158,1995,30,1995-10-08,14.8
144,tt0701158,7,5,Lisa the Vegetarian,8.5,3798,1995,30,1995-10-15,14.6
145,tt0177842,7,6,Treehouse of Horror VI,8.6,3700,1995,30,1995-10-29,19.7
146,tt0177842,7,6,Treehouse of Horror VI,8.6,3700,1995,30,1995-10-29,19.7
147,tt0177842,7,6,Treehouse of Horror VI,8.6,3700,1995,30,1995-10-29,19.7
148,tt0701144,7,7,King Size Homer,9.0,4613,1995,30,1995-11-05,17.0
149,tt0701182,7,8,Mother Simpson,8.7,3465,1995,30,1995-11-19,15.3
