state,age,population,pop_share
MO,10-19,792935,0.131
MO,20-29,831725,0.137
MO,30-39,763002,0.126
MO,40-49,750989,0.124
MO,50-59,857534,0.142
MO,60-69,668878,0.11
MO,70-79,388086,0.064
MO,≥80,242554,0.04
MT,<10,126020,0.123
MT,10-19,126294,0.123
MT,20-29,136346,0.133
MT,30-39,125004,0.122
MT,40-49,116502,0.114
MT,50-59,149800,0.146
MT,60-69,130977,0.128
MT,70-79,70528,0.069
MT,≥80,41920,0.041
NV,<10,369362,0.13
NV,10-19,360263,0.127
NV,20-29,392834,0.138
NV,30-39,390261,0.137
NV,40-49,387272,0.136
NV,50-59,373757,0.132
NV,60-69,309651,0.109
NV,70-79,173499,0.061
NV,≥80,82273,0.029
NH,<10,138762,0.105
NH,10-19,167495,0.126
NH,20-29,167554,0.126
NH,30-39,151409,0.114
NH,40-49,182703,0.138
NH,50-59,217950,0.164
NH,60-69,164287,0.124
NH,70-79,84791,0.064
NH,≥80,52552,0.04
NJ,<10,1079136,0.121
NJ,10-19,1153625,0.129
NJ,20-29,1139927,0.128
NJ,30-39,1143452,0.128
NJ,40-49,1254602,0.141
NJ,50-59,1307263,0.147
NJ,60-69,946399,0.106
NJ,70-79,523620,0.059
NJ,≥80,367432,0.041
NM,<10,276468,0.133
NM,10-19,282662,0.136
NM,20-29,289801,0.139
NM,30-39,260579,0.125
NM,40-49,244346,0.117
NM,50-59,280363,0.135
NM,60-69,239044,0.115
NM,70-79,135013,0.065
NM,≥80,74393,0.036
NY,<10,2319945,0.118
NY,10-19,2445591,0.124
NY,20-29,2894266,0.147
NY,30-39,2605355,0.132
NY,40-49,2617327,0.133
NY,50-59,2755620,0.14
NY,60-69,2095207,0.106
NY,70-79,1160055,0.059
NY,≥80,804091,0.041
NC,<10,1250298,0.126
NC,10-19,1310398,0.132
NC,20-29,1350242,0.136
NC,30-39,1268976,0.128
NC,40-49,1357746,0.137
NC,50-59,1356117,0.136
NC,60-69,1095320,0.11
NC,70-79,609234,0.061
NC,≥80,342497,0.034
ND,<10,99477,0.135
ND,10-19,91069,0.124
ND,20-29,124509,0.169
ND,30-39,94713,0.129
ND,40-49,80327,0.109
ND,50-59,98688,0.134
ND,60-69,73825,0.1
ND,70-79,41348,0.056
ND,≥80,32206,0.044
OH,<10,1422838,0.123
OH,10-19,1530264,0.132
OH,20-29,1535538,0.133
OH,30-39,1398724,0.121
OH,40-49,1490959,0.129
OH,50-59,1677794,0.145
OH,60-69,1320776,0.114
OH,70-79,728158,0.063
OH,≥80,481890,0.042
OK,<10,534481,0.138
OK,10-19,522282,0.135
OK,20-29,552528,0.143
OK,30-39,501392,0.129
OK,40-49,469410,0.121
OK,50-59,512850,0.132
OK,60-69,404704,0.104
OK,70-79,239887,0.062
OK,≥80,138055,0.036
OR,<10,474456,0.119
OR,10-19,485345,0.122
OR,20-29,538596,0.135
OR,30-39,537767,0.135
OR,40-49,507826,0.128
OR,50-59,534421,0.134
OR,60-69,490894,0.123
OR,70-79,255809,0.064
OR,≥80,157153,0.039
PA,<10,1458931,0.114
PA,10-19,1608018,0.126
PA,20-29,1712448,0.134
PA,30-39,1520409,0.119
PA,40-49,1645291,0.129
PA,50-59,1881378,0.147
PA,60-69,1491536,0.117
PA,70-79,850897,0.067
PA,≥80,615069,0.048
RI,<10,111377,0.106
RI,10-19,136885,0.13
RI,20-29,153674,0.146
RI,30-39,126503,0.12
RI,40-49,137892,0.131
RI,50-59,156127,0.148
RI,60-69,117653,0.112
RI,70-79,63359,0.06
RI,≥80,51021,0.048
SC,<10,599591,0.124
SC,10-19,619144,0.128
SC,20-29,667523,0.138
SC,30-39,596491,0.123
SC,40-49,619792,0.128
SC,50-59,663408,0.137
SC,60-69,579856,0.12
SC,70-79,322073,0.067
SC,≥80,166727,0.034
SD,<10,120366,0.141
SD,10-19,113383,0.133
SD,20-29,116748,0.137
SD,30-39,105499,0.124
SD,40-49,96288,0.113
SD,50-59,117012,0.137
SD,60-69,92824,0.109
SD,70-79,50398,0.059
SD,≥80,38540,0.045
TN,<10,818404,0.125
TN,10-19,842873,0.129
TN,20-29,895337,0.137
TN,30-39,837313,0.128
TN,40-49,866343,0.132
TN,50-59,904272,0.138
TN,60-69,741045,0.113
TN,70-79,414939,0.063
TN,≥80,227483,0.035
TX,<10,3983091,0.148
TX,10-19,3910528,0.145
TX,20-29,3946447,0.146
TX,30-39,3770534,0.14
TX,40-49,3545746,0.132
TX,50-59,3344930,0.124
TX,60-69,2431494,0.09
TX,70-79,1291486,0.048
TX,≥80,732179,0.027
UT,<10,513515,0.174
UT,10-19,479126,0.163
UT,20-29,465219,0.158
UT,30-39,436010,0.148
UT,40-49,328569,0.111
UT,50-59,301596,0.102
UT,60-69,230007,0.078
UT,70-79,123674,0.042
UT,≥80,70711,0.024
VT,<10,63768,0.102
VT,10-19,79351,0.127
VT,20-29,81765,0.131
VT,30-39,70092,0.112
VT,40-49,79982,0.128
VT,50-59,99521,0.159
VT,60-69,82136,0.131
VT,70-79,42978,0.069
VT,≥80,26656,0.043
VA,<10,1033629,0.124
VA,10-19,1065461,0.128
VA,20-29,1170634,0.141
VA,30-39,1112111,0.134
VA,40-49,1134928,0.137
VA,50-59,1162028,0.14
VA,60-69,881763,0.106
VA,70-79,475141,0.057
VA,≥80,274606,0.033
WA,<10,895790,0.127
WA,10-19,882812,0.125
WA,20-29,1004428,0.142
WA,30-39,970613,0.137
WA,40-49,921205,0.13
WA,50-59,970407,0.137
WA,60-69,784208,0.111
WA,70-79,401094,0.057
WA,≥80,242589,0.034
WV,<10,207017,0.112
WV,10-19,218547,0.118
WV,20-29,232027,0.126
WV,30-39,220494,0.119
WV,40-49,238218,0.129
WV,50-59,269346,0.146
WV,60-69,243108,0.132
WV,70-79,138134,0.075
WV,≥80,79201,0.043
WI,<10,705648,0.123
WI,10-19,755224,0.131
WI,20-29,760961,0.132
WI,30-39,714479,0.124
WI,40-49,732280,0.127
WI,50-59,848672,0.147
WI,60-69,645015,0.112
WI,70-79,350772,0.061
WI,≥80,241747,0.042
WY,<10,78217,0.134
WY,10-19,75535,0.13
WY,20-29,82898,0.142
WY,30-39,76912,0.132
WY,40-49,68464,0.117
WY,50-59,81018,0.139
WY,60-69,67484,0.116
WY,70-79,32819,0.056
WY,≥80,19682,0.034
PR,<10,389428,0.11
PR,10-19,479749,0.136
PR,20-29,480184,0.136
PR,30-39,441842,0.125
PR,40-49,456009,0.129
PR,50-59,452503,0.128
PR,60-69,411924,0.117
PR,70-79,268783,0.076
PR,≥80,148963,0.042
NE,<10,263518,0.14
NE,10-19,257610,0.137
NE,20-29,260646,0.139
NE,30-39,244236,0.13
NE,40-49,222479,0.118
NE,50-59,250911,0.133
NE,60-69,195705,0.104
NE,70-79,107650,0.057
NE,≥80,78504,0.042
